Ativo;Data;%;ABL Total;ABL Transação;Valor Transação (R$);Valor/m²;Cap rate;Comprador;Vendedor;Estrutura;Detalhes;Fato Relevante / Fonte;;;;;;;;
Suzano Shopping;jan/26;15%;24.058;3.609;51.120.000;14.166;9,4%;PMLL11;HGBS11;Cash;;9e4644bd-d1f4-e9e6-6180-c55e1537aee5;;;;;;;;
Boulevard Shopping Bauru;jan/26;35%;34.660;12.131;91.455.000;7.539;9,1%;HGBS11;PMLL11;Cash;CRI + valor recebido da venda do Suzano Shopping;Fundos.NET;;;;;;;;
Prudenshopping;abr/26;12%;32.758;3.931;257.100.000;16.805;7,7%;PMLL11;VISC11;Cotas + CRI;"13% à vista | 65% em cotas | 11% em 12 meses | 11% em 18 meses. 
Laudo 12/2025 VISC - 217mm";https://api.mziq.com/mzfilemanager/v2/d/4dccebbf-fc1c-4782-93d6-feb72a6129bc/789dfeba-f1ee-5e7d-0434-03092866663f?origin=2;;;;;;;;
North Shopping Maracanaú;;15%;20.119;3.018;;;;;;;;;;;;;;;;
Granja Vianna ;;14%;30.659;4.292;;;;;;;;;;;;;;;;
Natal Shopping;;10%;28.394;2.839;;;;;;;;;;;;;;;;
Plaza Sul Shopping;;5%;24.375;1.219;;;;;;;;;;;;;;;;
Shopping São Luís;dez/25;17,0%;55.313;9.403;85.365.848;9.078;6,4%;TRXF11;-;Cotas;Pago com a 12ª emissão de cotas ;exibirDocumento;;;;;;;;
Viabrasil Pampulha;dez/25;100%;17.233;17.233;875.252.000;50.789;8,2%;TRXF11;-;Cotas;Pago com a 12ª emissão de cotas ;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1053411&cod_neg=TRXF11&cod=299565&tipo_comunicado=fato_relevante&utm_source=clubefii&utm_medium=site&utm_campaign=none&utm_content=pagina_comunicados;;;;;;;;
Shopping Pátio Paulista;abr/26;4,5%;42.000;1.890;113.454.545;60.029;6,9%;SPP FII;BBIG11;Cash;À vista;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1157440&cod_neg=BBIG11&cod=299565&tipo_comunicado=fato_relevante&utm_source=clubefii&utm_medium=site&utm_campaign=none&utm_content=pagina_comunicados;;;;;;;;
Shopping Pátio Paulista;abr/26;5%;42.000;1.890;113.454.545;60.029;6,9%;Iguatemi;BBIG11;Sellers Finance;70% à vista | 15% em 12 meses | 15% em 24 meses, corrigidos por IPCA;https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1157440&cod_neg=BBIG11&cod=299565&tipo_comunicado=fato_relevante&utm_source=clubefii&utm_medium=site&utm_campaign=none&utm_content=pagina_comunicados;;;;;;;;
ParkShopping Sâo Caetano;jan/26;20,0%;39.252;7.850;237.200.000;30.215;8,0%;HGBS11;Multiplan;Sellers Finance;50% à vista | 25% em 12 meses | 25% em 18 meses;Fundos.NET;;;;;;;;
Shopping Jardim Sul;mar/26;19%;28.710;5.455;128.000.000;23.465;7,6%;PMLL11;HGBS11;Sellers Finance;10% à vista | 20% em 12 meses corrigidos por IPCA | 20% em 18 meses corrigidos por IPCA | 50% em cotas no fechamento;https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=1151773&cvm=true;;;;;;;;
Shopping Parque Dom Pedro;abr/26;14,4%;126.000;18.144;401.690.739;22.139;8,9%;HGBS11;-;;;https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=1177713&cvm=true;;;;;;;;
Shops Jardins;mai/26;30%;4.600;1.380;20.000.018;14.493;5,0%;JCCJ11;XPML11;Cotas;Compra de cotas do JCCJ11;Fundos.NET;Fundos.NET;;;;;;;
